date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:31:20	353884/353884	---M--	200	added ('OK%20')	image/png	etag:%2252aa4de89247113b816574574a13290b%22	http://localhost:3000/assets/p-home-custom-4-52aa4de89247113b816574574a13290b.png	/home/michael/websites/dalil-212/localhost_3000/assets/p-home-custom-4-52aa4de89247113b816574574a13290b.png	(from http://localhost:3000/)
10:31:22	10732/10732	---MC-	200	added ('OK%20')	text/html	etag:W/%226f7239ba58c601dcad5cf75eaf6943a5%22	http://localhost:3000/p/cosmetic	/home/michael/websites/dalil-212/localhost_3000/p/cosmetic.html	(from http://localhost:3000/)
10:31:54	472353/472353	---M--	200	added ('OK%20')	image/png	etag:%2276ea67cd434b784b3d3a7130842f0425%22	http://localhost:3000/assets/p-home-custom-5-76ea67cd434b784b3d3a7130842f0425.png	/home/michael/websites/dalil-212/localhost_3000/assets/p-home-custom-5-76ea67cd434b784b3d3a7130842f0425.png	(from http://localhost:3000/)
10:31:56	14019/14019	---MC-	200	added ('OK%20')	text/html	etag:W/%22d235ffff4e0322a6937e38cdfb469d06%22	http://localhost:3000/p/home_dalil	/home/michael/websites/dalil-212/localhost_3000/p/home_dalil.html	(from http://localhost:3000/)
10:32:30	418297/418297	---M--	200	added ('OK%20')	image/png	etag:%22c73adfa616fc437e637ef0d0d2ffdf8d%22	http://localhost:3000/assets/home-cosmetic-c73adfa616fc437e637ef0d0d2ffdf8d.png	/home/michael/websites/dalil-212/localhost_3000/assets/home-cosmetic-c73adfa616fc437e637ef0d0d2ffdf8d.png	(from http://localhost:3000/)
10:32:32	519137/519137	---M--	200	added ('OK%20')	image/png	etag:%22fe0b5fce5e5e16982a8aa457af2145ed%22	http://localhost:3000/assets/home-immo-fe0b5fce5e5e16982a8aa457af2145ed.png	/home/michael/websites/dalil-212/localhost_3000/assets/home-immo-fe0b5fce5e5e16982a8aa457af2145ed.png	(from http://localhost:3000/)
10:32:33	4148/4148	---MC-	200	added ('OK%20')	text/html	etag:W/%229cdd067e8f38625c989d1d58a8769d1e%22	http://localhost:3000/p/loan	/home/michael/websites/dalil-212/localhost_3000/p/loan.html	(from http://localhost:3000/)
10:32:37	22332/22332	---M--	200	added ('OK%20')	image/png	etag:%22cc4eb30b6ba18b3696551bd7a30091e0%22	http://localhost:3000/assets/p-loan-cc4eb30b6ba18b3696551bd7a30091e0.png	/home/michael/websites/dalil-212/localhost_3000/assets/p-loan-cc4eb30b6ba18b3696551bd7a30091e0.png	(from http://localhost:3000/)
10:32:39	4322/4322	---MC-	200	added ('OK%20')	text/html	etag:W/%22baa1c1864e3687cdcc5381a838cc3746%22	http://localhost:3000/p/pie_timer	/home/michael/websites/dalil-212/localhost_3000/p/pie_timer.html	(from http://localhost:3000/)
10:32:50	67026/67026	---M--	200	added ('OK%20')	image/png	etag:%222ce28082851ff51ad2d1add46f338cc8%22	http://localhost:3000/assets/p-timer-2ce28082851ff51ad2d1add46f338cc8.png	/home/michael/websites/dalil-212/localhost_3000/assets/p-timer-2ce28082851ff51ad2d1add46f338cc8.png	(from http://localhost:3000/)
10:33:26	835919/835919	---M--	200	added ('OK%20')	image/png	etag:%224ba2f648e99328e3ab06fb7dd9cb7e02%22	http://localhost:3000/assets/home-spa-4ba2f648e99328e3ab06fb7dd9cb7e02.png	/home/michael/websites/dalil-212/localhost_3000/assets/home-spa-4ba2f648e99328e3ab06fb7dd9cb7e02.png	(from http://localhost:3000/)
10:33:26	0/0	---M--	200	added ('OK%20')	application/javascript	etag:%226794fb98c22bd697f73991dc79533c19%22	http://localhost:3000/assets/jquery-10c6c7e09c05901741027faf5d80dd84.js?body=1	/home/michael/websites/dalil-212/localhost_3000/assets/jquery-10c6c7e09c05901741027faf5d80dd84.227e76.delayed	(from http://localhost:3000/)
10:33:29	17371/17371	---M--	200	added ('OK%20')	application/javascript	etag:%2209ae19b6fb2fc3e967f3b72d566c3f67%22	http://localhost:3000/assets/jquery_ujs-09ae19b6fb2fc3e967f3b72d566c3f67.js?body=1	/home/michael/websites/dalil-212/localhost_3000/assets/jquery_ujs-09ae19b6fb2fc3e967f3b72d566c3f677e76.js	(from http://localhost:3000/)
10:33:30	247352/247352	---M--	200	added ('OK%20')	application/javascript	etag:%2210c6c7e09c05901741027faf5d80dd84%22	http://localhost:3000/assets/jquery/jquery-10c6c7e09c05901741027faf5d80dd84.js?body=1	/home/michael/websites/dalil-212/localhost_3000/assets/jquery/jquery-10c6c7e09c05901741027faf5d80dd847e76.js	(from http://localhost:3000/)
10:33:32	11070/11070	---M--	200	added ('OK%20')	application/javascript	etag:%22b1df52cd1a7e4c1661fc99f0a175610a%22	http://localhost:3000/assets/foundation/foundation.abide-b1df52cd1a7e4c1661fc99f0a175610a.js?body=1	/home/michael/websites/dalil-212/localhost_3000/assets/foundation/foundation.abide-b1df52cd1a7e4c1661fc99f0a175610a7e76.js	(from http://localhost:3000/)
10:33:32	18013/18013	---M--	200	added ('OK%20')	application/javascript	etag:%220f671884067e1e25d466701dc3120a8f%22	http://localhost:3000/assets/foundation/foundation-0f671884067e1e25d466701dc3120a8f.js?body=1	/home/michael/websites/dalil-212/localhost_3000/assets/foundation/foundation-0f671884067e1e25d466701dc3120a8f7e76.js	(from http://localhost:3000/)
10:33:32	2144/2144	---M--	200	added ('OK%20')	application/javascript	etag:%222ff32cb6251819018921b2ed47f8a993%22	http://localhost:3000/assets/foundation/foundation.accordion-2ff32cb6251819018921b2ed47f8a993.js?body=1	/home/michael/websites/dalil-212/localhost_3000/assets/foundation/foundation.accordion-2ff32cb6251819018921b2ed47f8a9937e76.js	(from http://localhost:3000/)
10:33:32	1237/1237	---M--	200	added ('OK%20')	application/javascript	etag:%222a586e1a64df319eaf543820a1dab825%22	http://localhost:3000/assets/foundation/foundation.alert-2a586e1a64df319eaf543820a1dab825.js?body=1	/home/michael/websites/dalil-212/localhost_3000/assets/foundation/foundation.alert-2a586e1a64df319eaf543820a1dab8257e76.js	(from http://localhost:3000/)
10:33:34	9922/9922	---M--	200	added ('OK%20')	application/javascript	etag:%223a1b1f54d357f0dfbe9f8e21064e798b%22	http://localhost:3000/assets/foundation/foundation.dropdown-3a1b1f54d357f0dfbe9f8e21064e798b.js?body=1	/home/michael/websites/dalil-212/localhost_3000/assets/foundation/foundation.dropdown-3a1b1f54d357f0dfbe9f8e21064e798b7e76.js	(from http://localhost:3000/)
10:33:35	16859/16859	---M--	200	added ('OK%20')	application/javascript	etag:%2296f83200dd93c77e05ccaf758e57c295%22	http://localhost:3000/assets/foundation/foundation.clearing-96f83200dd93c77e05ccaf758e57c295.js?body=1	/home/michael/websites/dalil-212/localhost_3000/assets/foundation/foundation.clearing-96f83200dd93c77e05ccaf758e57c2957e76.js	(from http://localhost:3000/)
10:33:36	9228/9228	---M--	200	added ('OK%20')	application/javascript	etag:%22a1c790fe85df11930da97b1522d1d443%22	http://localhost:3000/assets/foundation/foundation.interchange-a1c790fe85df11930da97b1522d1d443.js?body=1	/home/michael/websites/dalil-212/localhost_3000/assets/foundation/foundation.interchange-a1c790fe85df11930da97b1522d1d4437e76.js	(from http://localhost:3000/)
10:33:37	7039/7039	---M--	200	added ('OK%20')	application/javascript	etag:%22932d201f75eb5de17fbbc77bfacff0dc%22	http://localhost:3000/assets/foundation/foundation.magellan-932d201f75eb5de17fbbc77bfacff0dc.js?body=1	/home/michael/websites/dalil-212/localhost_3000/assets/foundation/foundation.magellan-932d201f75eb5de17fbbc77bfacff0dc7e76.js	(from http://localhost:3000/)
10:33:38	3435/3435	---M--	200	added ('OK%20')	application/javascript	etag:%221368ba968b5cdfbef2ff9021a8dddeb6%22	http://localhost:3000/assets/foundation/foundation.offcanvas-1368ba968b5cdfbef2ff9021a8dddeb6.js?body=1	/home/michael/websites/dalil-212/localhost_3000/assets/foundation/foundation.offcanvas-1368ba968b5cdfbef2ff9021a8dddeb67e76.js	(from http://localhost:3000/)
10:33:40	29178/29178	---M--	200	added ('OK%20')	application/javascript	etag:%22707d2095e3b3ff71ffc78b709b136752%22	http://localhost:3000/assets/foundation/foundation.joyride-707d2095e3b3ff71ffc78b709b136752.js?body=1	/home/michael/websites/dalil-212/localhost_3000/assets/foundation/foundation.joyride-707d2095e3b3ff71ffc78b709b1367527e76.js	(from http://localhost:3000/)
10:33:41	15318/15318	---M--	200	added ('OK%20')	application/javascript	etag:%2273fbef12ea4aee2134b1a5d6f7033b8e%22	http://localhost:3000/assets/foundation/foundation.orbit-73fbef12ea4aee2134b1a5d6f7033b8e.js?body=1	/home/michael/websites/dalil-212/localhost_3000/assets/foundation/foundation.orbit-73fbef12ea4aee2134b1a5d6f7033b8e7e76.js	(from http://localhost:3000/)
10:33:42	7944/7944	---M--	200	added ('OK%20')	application/javascript	etag:%228371d9845748f8ae6426b19c457d97ff%22	http://localhost:3000/assets/foundation/foundation.slider-8371d9845748f8ae6426b19c457d97ff.js?body=1	/home/michael/websites/dalil-212/localhost_3000/assets/foundation/foundation.slider-8371d9845748f8ae6426b19c457d97ff7e76.js	(from http://localhost:3000/)
10:33:42	14068/14068	---M--	200	added ('OK%20')	application/javascript	etag:%2286316e546dafd4070a504f5546c5bff4%22	http://localhost:3000/assets/foundation/foundation.reveal-86316e546dafd4070a504f5546c5bff4.js?body=1	/home/michael/websites/dalil-212/localhost_3000/assets/foundation/foundation.reveal-86316e546dafd4070a504f5546c5bff47e76.js	(from http://localhost:3000/)
10:33:43	6401/6401	---M--	200	added ('OK%20')	application/javascript	etag:%2243577006e3dce3da07b8ae217aa5eb13%22	http://localhost:3000/assets/foundation/foundation.tab-43577006e3dce3da07b8ae217aa5eb13.js?body=1	/home/michael/websites/dalil-212/localhost_3000/assets/foundation/foundation.tab-43577006e3dce3da07b8ae217aa5eb137e76.js	(from http://localhost:3000/)
10:33:44	10487/10487	---M--	200	added ('OK%20')	application/javascript	etag:%22684de13702877060825895e941353d83%22	http://localhost:3000/assets/foundation/foundation.tooltip-684de13702877060825895e941353d83.js?body=1	/home/michael/websites/dalil-212/localhost_3000/assets/foundation/foundation.tooltip-684de13702877060825895e941353d837e76.js	(from http://localhost:3000/)
10:33:45	2100/2100	---M--	200	added ('OK%20')	application/javascript	etag:%22e7b74976e5614c8d6a48332e1584fc6f%22	http://localhost:3000/assets/foundation/foundation.equalizer-e7b74976e5614c8d6a48332e1584fc6f.js?body=1	/home/michael/websites/dalil-212/localhost_3000/assets/foundation/foundation.equalizer-e7b74976e5614c8d6a48332e1584fc6f7e76.js	(from http://localhost:3000/)
10:33:45	17/17	---M--	200	added ('OK%20')	application/javascript	etag:%22b0c2b03ef942d2cbc668d63cc4a12796%22	http://localhost:3000/assets/foundation-bde350a1dade4d1af3099d32c14afa7d.js?body=1	/home/michael/websites/dalil-212/localhost_3000/assets/foundation-bde350a1dade4d1af3099d32c14afa7d7e76.js	(from http://localhost:3000/)
10:33:46	14331/14331	---M--	200	added ('OK%20')	application/javascript	etag:%22016318f71a5780d034465bfcec76a2ca%22	http://localhost:3000/assets/foundation/foundation.topbar-016318f71a5780d034465bfcec76a2ca.js?body=1	/home/michael/websites/dalil-212/localhost_3000/assets/foundation/foundation.topbar-016318f71a5780d034465bfcec76a2ca7e76.js	(from http://localhost:3000/)
10:33:46	0/0	---M--	200	added ('OK%20')	application/javascript	etag:%226794fb98c22bd697f73991dc79533c19%22	http://localhost:3000/assets/jquery-ui-a4d0d91beb38c7cd77b21b5ca6ff78c2.js?body=1	/home/michael/websites/dalil-212/localhost_3000/assets/jquery-ui-a4d0d91beb38c7cd77b21b5ca6ff78c27e76.js	(from http://localhost:3000/)
10:33:46	449/449	---M--	200	added ('OK%20')	application/javascript	etag:%22276da5015f66abb591e476e7f525207d%22	http://localhost:3000/assets/profil1-276da5015f66abb591e476e7f525207d.js?body=1	/home/michael/websites/dalil-212/localhost_3000/assets/profil1-276da5015f66abb591e476e7f525207d7e76.js	(from http://localhost:3000/)
10:33:47	1977/1977	---M--	200	added ('OK%20')	application/javascript	etag:%225f9dec093267ce81fc2511459a2ae32d%22	http://localhost:3000/assets/loan-5f9dec093267ce81fc2511459a2ae32d.js?body=1	/home/michael/websites/dalil-212/localhost_3000/assets/loan-5f9dec093267ce81fc2511459a2ae32d7e76.js	(from http://localhost:3000/)
10:33:47	1214/1214	---M--	200	added ('OK%20')	application/javascript	etag:%2236c9538314a49cd0542054bb2fb27f26%22	http://localhost:3000/assets/search_result-36c9538314a49cd0542054bb2fb27f26.js?body=1	/home/michael/websites/dalil-212/localhost_3000/assets/search_result-36c9538314a49cd0542054bb2fb27f267e76.js	(from http://localhost:3000/)
10:33:47	2716/2716	---M--	200	added ('OK%20')	application/javascript	etag:%22886539e97c74ca0ebab1fe61554c6e94%22	http://localhost:3000/assets/pie_timer-886539e97c74ca0ebab1fe61554c6e94.js?body=1	/home/michael/websites/dalil-212/localhost_3000/assets/pie_timer-886539e97c74ca0ebab1fe61554c6e947e76.js	(from http://localhost:3000/)
10:33:48	237/237	---M--	200	added ('OK%20')	application/javascript	etag:%227a3fcdec2fe22974e879d120ff2829dd%22	http://localhost:3000/assets/full_body-7a3fcdec2fe22974e879d120ff2829dd.js?body=1	/home/michael/websites/dalil-212/localhost_3000/assets/full_body-7a3fcdec2fe22974e879d120ff2829dd7e76.js	(from http://localhost:3000/)
10:33:48	157/157	---M--	200	added ('OK%20')	application/javascript	etag:%2202ebf9101e7f2e3346576afa9759b5a6%22	http://localhost:3000/assets/application-7202b890aaec997f691ca8802615b933.js?body=1	/home/michael/websites/dalil-212/localhost_3000/assets/application-7202b890aaec997f691ca8802615b9337e76.js	(from http://localhost:3000/)
10:34:10	137568/137568	---M--	200	added ('OK%20')	application/octet-stream	etag:%2219c25f00f2056d87fc1ec789b813972f%22	http://localhost:3000/assets/century_gothic-19c25f00f2056d87fc1ec789b813972f.ttf	/home/michael/websites/dalil-212/localhost_3000/assets/century_gothic-19c25f00f2056d87fc1ec789b813972f.ttf	(from http://localhost:3000/assets/application-63e05c7cb47ec711ee2eed783a8078fd.css?body=1)
10:34:22	72449/72449	---M--	200	added ('OK%20')	application/vnd.ms-fontobject	etag:%2263c52ca2b855124daa1d7906b371987a%22	http://localhost:3000/assets/fontawesome-webfont-63c52ca2b855124daa1d7906b371987a.eot	/home/michael/websites/dalil-212/localhost_3000/assets/fontawesome-webfont-63c52ca2b855124daa1d7906b371987a.eot	(from http://localhost:3000/assets/application-63e05c7cb47ec711ee2eed783a8078fd.css?body=1)
10:34:34	72449/72449	---M--	200	added ('OK%20')	application/vnd.ms-fontobject	etag:%2263c52ca2b855124daa1d7906b371987a%22	http://localhost:3000/assets/fontawesome-webfont-63c52ca2b855124daa1d7906b371987a.eot?	/home/michael/websites/dalil-212/localhost_3000/assets/fontawesome-webfont-63c52ca2b855124daa1d7906b371987ad41d.eot	(from http://localhost:3000/assets/application-63e05c7cb47ec711ee2eed783a8078fd.css?body=1)
10:34:41	1031115/1031115	---M--	200	added ('OK%20')	image/png	etag:%22f66b4caa26294a1d1c93c4c6b7be97c3%22	http://localhost:3000/assets/p-home-dalil-f66b4caa26294a1d1c93c4c6b7be97c3.png	/home/michael/websites/dalil-212/localhost_3000/assets/p-home-dalil-f66b4caa26294a1d1c93c4c6b7be97c3.png	(from http://localhost:3000/)
10:34:43	837301/837301	---M--	200	added ('OK%20')	image/png	etag:%2279966c7dc7744f0ed76ed7739713d5e0%22	http://localhost:3000/assets/p-home-dalil-2-79966c7dc7744f0ed76ed7739713d5e0.png	/home/michael/websites/dalil-212/localhost_3000/assets/p-home-dalil-2-79966c7dc7744f0ed76ed7739713d5e0.png	(from http://localhost:3000/)
10:34:43	253487/253487	---M--	200	added ('OK%20')	image/svg+xml	etag:%225922e7cd4607b5726550c1a93c5f0736%22	http://localhost:3000/assets/fontawesome-webfont-5922e7cd4607b5726550c1a93c5f0736.svg	/home/michael/websites/dalil-212/localhost_3000/assets/fontawesome-webfont-5922e7cd4607b5726550c1a93c5f0736.svg	(from http://localhost:3000/assets/application-63e05c7cb47ec711ee2eed783a8078fd.css?body=1)
10:34:45	291/291	---M--	200	added ('OK%20')	image/png	etag:%2295e8a78968816f213a37fbb084f74d06%22	http://localhost:3000/assets/jquery-ui/themes/black-tie/images/ui-bg_highlight-hard_100_f9f9f9_1x100-95e8a78968816f213a37fbb084f74d06.png	/home/michael/websites/dalil-212/localhost_3000/assets/jquery-ui/themes/black-tie/images/ui-bg_highlight-hard_100_f9f9f9_1x100-95e8a78968816f213a37fbb084f74d06.png	(from http://localhost:3000/assets/application-63e05c7cb47ec711ee2eed783a8078fd.css?body=1)
10:34:45	351/351	---M--	200	added ('OK%20')	image/png	etag:%2261a53de7e8d1ba1df3dec333655caf4a%22	http://localhost:3000/assets/jquery-ui/themes/black-tie/images/ui-bg_diagonals-thick_8_333333_40x40-61a53de7e8d1ba1df3dec333655caf4a.png	/home/michael/websites/dalil-212/localhost_3000/assets/jquery-ui/themes/black-tie/images/ui-bg_diagonals-thick_8_333333_40x40-61a53de7e8d1ba1df3dec333655caf4a.png	(from http://localhost:3000/assets/application-63e05c7cb47ec711ee2eed783a8078fd.css?body=1)
10:34:45	299/299	---M--	200	added ('OK%20')	image/png	etag:%220fa9f4371240c7f71b5f88250ae2edd3%22	http://localhost:3000/assets/jquery-ui/themes/black-tie/images/ui-bg_glass_40_111111_1x400-0fa9f4371240c7f71b5f88250ae2edd3.png	/home/michael/websites/dalil-212/localhost_3000/assets/jquery-ui/themes/black-tie/images/ui-bg_glass_40_111111_1x400-0fa9f4371240c7f71b5f88250ae2edd3.png	(from http://localhost:3000/assets/application-63e05c7cb47ec711ee2eed783a8078fd.css?body=1)
